Country;Health Expenditure;Under-five mortality rate;Life expectancy at birth;Health index;Expected Years of Schooling;Mean years of schooling;Education index;GDP per capita;GNI per capita;Income index;Loss due to inequality in life expectancy;Loss due to inequality in education;Loss due to inequality in income;Inequality-adjusted education index;Inequality-adjusted life expectancy index;Inequality-adjusted income index;Inequality-adjusted HDI value;Female male-ratio with at least secondary education;Adolescent fertility rate;Female-male ratio in Labour force;Gender Inequality Index;female-male ratio in parliament;Maternal mortality ratio;POLPRIS;TORT;DOMMOV;SPEECH;NEW_RELFRE;WORKER;WECON;HDI
Spain;6,1;4;81,4;0,969;16,6;10,4;0,874;27066;26508;0,799;4,1;5,5;16,7;0,826;0,929;0,666;0,799;0,937;8,1;0,718;0,117;0,533;6;POLPRIS2;TORT0;DOMMOV2;SPEECH2;NEW_RELFRE1;WORKER1;WECON2;0,878
Italy;6,7;4;81,9;0,976;16,3;10,1;0,856;26578;26484;0,799;3,9;11,4;16,8;0,758;0,938;0,665;0,779;0,859;3,3;0,634;0,124;0,255;5;POLPRIS2;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE1;WORKER1;WECON2;0,874
Luxembourg;6,5;3;80;0,946;13,3;10,1;0,771;68853;50557;0,892;3,5;6,2;13,5;0,724;0,913;0,771;0,799;0,898;6,5;0,759;0,169;0,25;17;POLPRIS2;TORT2;DOMMOV2;SPEECH2;NEW_RELFRE2;WORKER2;WECON3;0,867
Singapore;1;3;81,1;0,964;14,4;8,8;0,751;45978;52569;0,897;2,9;;;;0,936;;;0,885;6,6;0,711;0,086;0,306;9;POLPRIS1;TORT2;DOMMOV1;SPEECH0;NEW_RELFRE1;WORKER0;WECON2;0,866
Czech Republic;5,8;4;77,7;0,91;15,6;12,3;0,924;22098;21405;0,769;3,9;1,3;9,6;0,912;0,874;0,695;0,821;0,976;6,9;0,722;0,136;0,266;8;POLPRIS2;TORT1;DOMMOV2;SPEECH2;NEW_RELFRE2;WORKER1;WECON2;0,865
United Kingdom;6,9;6;80,2;0,949;16,1;9,3;0,815;32147;33296;0,832;4,8;2,2;17,3;0,797;0,903;0,688;0,791;1,015;29,8;0,795;0,209;0,265;12;POLPRIS2;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER1;WECON2;0,863
Greece;5,8;3;79,9;0,945;16,5;10,1;0,861;26482;23747;0,783;4,8;14,3;17,1;0,738;0,9;0,649;0,756;0,895;7,4;0,66;0,162;0,21;2;POLPRIS1;TORT0;DOMMOV2;SPEECH1;NEW_RELFRE0;WORKER1;WECON2;0,861
United Arab Emirates;1,9;7;76,5;0,892;13,3;9,3;0,741;52435;59993;0,916;6,3;;;;0,836;;;0,995;20,8;0,454;0,234;0,29;10;POLPRIS2;TORT1;DOMMOV2;SPEECH0;NEW_RELFRE0;WORKER0;WECON1;0,846
Cyprus;3;4;79,6;0,94;14,7;9,8;0,798;25759;24841;0,79;4,1;15;10,9;0,678;0,901;0,704;0,755;0,845;4,5;0,767;0,141;0,143;10;POLPRIS2;TORT1;DOMMOV2;SPEECH2;NEW_RELFRE1;WORKER1;WECON2;0,84
Andorra;5,3;4;80,9;0,961;11,5;10,4;0,727;;36095;0,843;;;;;;;;;5,8;;;0,556;;POLPRIS2;TORT2;DOMMOV2;SPEECH2;NEW_RELFRE2;WORKER0;WECON0;0,838
